id,titulo
37138,5.3.2.5. Contratos registrados por nacionalidad (española/extranjera) y sexo
37139,5.3.2.6. Contratos registrados a españoles por tipo de contrato y sexo
37141,5.3.2.7. Contratos registrados a extranjeros por tipo de contrato y sexo
37143,5.3.2.8. Contratos registrados por nivel educativo y sexo
37145,5.3.2.9. Contratos registrados a españoles por nivel educativo y sexo
37146,5.3.2.10. Contratos registrados a extranjeros por nivel educativo y sexo
37147,5.3.2.11. Contratos registrados por sector de actividad y sexo
37148,5.3.2.12. Contratos registrados a españoles por sector de actividad y sexo
37149,5.3.2.13. Contratos registrados a extranjeros por sector de actividad y sexo
49400,"5.3.3.1.1. Afiliaciones según municipio de trabajo, por régimen y sexo"
49401,"5.3.3.1.2. Afiliaciones según municipio de trabajo, por nacionalidad"
49402,"5.3.3.1.3. Afiliaciones según municipio de trabajo, por relación laboral y sexo"
49483,"5.3.3.2.1. Afiliaciones según municipio de residencia, por régimen y sexo"
49484,"5.3.3.2.2. Afiliaciones según municipio de residencia, por relación laboral y sexo"
31641,5.4.1.1. Población parada que reside en viviendas familiares por sexo (Censo 2011)
31598,5.4.1.2. Población parada que reside viviendas familiares según hayan o no trabajado antes (Censo 2011)
23898,5.4.1.3. Población parada por sexo (Censo 2001)
23912,5.4.1.4. Tasa de paro por sexo (Censo 2001)
37015,5.4.2.1. Paro registrado por sexo
37016,5.4.2.2. Paro registrado por edad y sexo
37017,5.4.2.3. Paro registrado por nivel de estudios terminados y sexo
37028,5.4.2.4. Paro registrado por nacionalidad y sexo
37093,5.4.2.5. Paro registrado por grupo principal de ocupación solicitado (CNO 11) y sexo
37084,5.4.2.6. Paro registrado por grupo principal de ocupación solicitado (CNO 94) y sexo (2006-2010)
37054,5.4.2.7. Paro registrado por sectores de actividad según CNAE 09 y sexo
37083,5.4.2.8. Paro registrado por sectores de actividad según CNAE 93 y sexo (2006-2008)
37056,5.4.2.9. Paro registrado según duración de la demanda y sexo
37057,5.4.2.10. Paro registrado según ámbito de búsqueda y sexo
23651,5.4.2.11. Paro registrado por grupos de edad y sexo (1997-2004)
